Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,x_sx_error_,p_i,p_i_pred,RSE
0,384.8077310067106,486.23766078571145,0.0027,0.0044,0.001,0.0001327268526847,0.9723534971644582,0.9453231984772292,0.0007306370471208111
0,232.3192603398693,323.0582975949717,0.005126953125,0.00634765625,0.00390625,0.0001991776765114,0.9881852551984844,0.9448048605165058,0.0018818586427642398
1,460.1554823065436,171.8701412459624,0.0057,0.0086,0.0028,0.0004009879300176,0.958766540642719,0.9416034870224661,0.0002945704095716777
1,521.0552804202151,130.86193138748442,0.015869140625,0.01123046875,0.0205078125,0.000190538039894,0.9881852551984844,0.9489313310782064,0.0015408705588405478
2,297.6389408350375,149.38970812380646,0.0046,0.0064,0.0028,0.0003890796801494,0.9445888468809044,0.9441010865672523,2.3791012357394867e-07
2,272.73794752613907,142.77383610540738,0.01171875,0.009765625,0.013671875,0.000131907626893,0.9144612476370482,0.9466126482927247,0.0010337125641218395
3,211.62128005649924,146.72567571405563,0.0062999999999999,0.0076,0.005,0.0001635116734481,0.9881852551984844,0.9440201778137255,0.0019505540604017458
3,249.63594857402217,142.13468228326232,0.00634765625,0.0048828125,0.0078125,9.24995750204e-05,0.9504962192816604,0.9487431028819117,3.07341711106796e-06
4,110.63914548442315,119.10729897263316,0.0653,0.0712,0.0594,0.0004795380529602,0.8943761814744774,0.9035028245812949,8.32956143992202e-05
4,541.8192633031138,227.85974291043976,0.084716796875,0.06982421875,0.099609375,0.0005581641294551,0.8648393194706968,0.9284851784041435,0.004050795359376191
5,445.07588572049497,440.3779108063197,0.0127,0.0094,0.016,0.0002193882350308,0.9763705103969724,0.948383778631591,0.0007832571549074121
5,438.15356415087024,442.81284248188086,0.016357421875,0.0244140625,0.00830078125,0.0001755001441622,0.9564035916824166,0.9268542171573584,0.0008731655348221607
6,274.93909720509214,147.01187276966468,0.0163999999999999,0.0304,0.0024,0.000415818029972,0.929820415879014,0.9166215609385115,0.00017420977174042556
6,372.895847892788,185.4006400646429,0.0126953125,0.0087890625,0.0166015625,9.25519982097e-05,0.9787334593572748,0.9494277469954465,0.0008588247770342177
7,410.7681347984127,363.2063834652582,0.005126953125,0.00390625,0.00634765625,9.83143923442e-05,0.9822778827977284,0.948998550386543,0.001107513965734176
7,287.7388438890699,157.7930903066063,0.0427999999999999,0.024,0.0616,0.000321030620219,0.9528591682419628,0.958369105813065,3.0359412037443456e-05
8,423.20033408167046,316.26113499159607,0.15283203125,0.263671875,0.0419921875,0.057518967321455,0.8471172022684285,0.6748553898639842,0.02967413201286395
8,454.8924923762133,297.7769648588041,0.0449,0.0586,0.0312,0.0007063328010428,0.8973298676748555,0.9013818059562386,1.6418203836138413e-05
9,454.1564258582864,376.3262951626362,0.01416015625,0.017578125,0.0107421875,0.0001416230256928,0.9881852551984844,0.9360368975953725,0.0027194512007020473
9,118.37388492679776,159.05165351485545,0.0178,0.0314,0.0042,0.0003092412718703,0.9233223062381825,0.9165347215488918,4.6071305914292684e-05
10,233.4033388653241,78.30533009331471,0.011962890625,0.01123046875,0.0126953125,0.000149263231242,0.9763705103969724,0.9443808400593791,0.0010233390083079009
10,296.817946413255,84.01668052014429,0.0047,0.006,0.0034,0.0001695320061317,0.9580576559546284,0.9449046732856413,0.00017300095309067564
11,145.4709866714758,179.5609297415617,0.0194999999999999,0.0178,0.0212,0.0007792412915607,0.9623109640831728,0.9418762962827207,0.0004175756481148343
11,242.6215792943725,220.72528313966023,0.004638671875,0.005859375,0.00341796875,0.0002078364101893,0.9321833648393164,0.9450747871131598,0.0001661887682425466
12,420.3339076984881,320.3019685662814,0.0193999999999999,0.0164,0.0224,0.0003009248493459,0.9054820415878988,0.9441646332317128,0.0014963428962820723
12,378.7884970988112,378.8805089027159,0.017822265625,0.0146484375,0.02099609375,0.0001044694326597,0.8412098298676723,0.9453354107695678,0.010842136598157184
13,269.3716591911651,86.06568861150538,0.0234999999999999,0.0324,0.0146,0.0001718197335038,0.9893667296786356,0.9214570626727977,0.004611722872843788
13,446.8310757521897,91.48537843271934,0.0263671875,0.0224609375,0.0302734375,0.0002448923424111,0.9881852551984844,0.9418698022891333,0.002145121178198322
14,381.364641319099,353.08039047033486,0.0042999999999999,0.0058,0.0028,9.86243916207e-05,0.9940926275992408,0.944782250079467,0.0024315133311426074
14,277.3241490267648,330.23714298621314,0.005126953125,0.0068359375,0.00341796875,0.0001521463069938,0.9881852551984844,0.9439661225424983,0.0019553316928476957
15,380.5148007759491,70.9926395505747,0.0263671875,0.0146484375,0.0380859375,0.0005410877531115,0.9233223062381825,0.9552896098732527,0.0010219085016967774
15,351.40390800435887,66.71791674174106,0.0537999999999999,0.0594,0.0482,0.0005933173513627,0.9881852551984844,0.9103754563969213,0.006054364789539736
16,321.5433335740062,110.69141580900484,0.0143999999999999,0.0258,0.003,0.0001677639083568,0.9410444234404508,0.9221932922424015,0.0003553651474460663
16,421.7006835936474,127.82068064772756,0.03125,0.0224609375,0.0400390625,0.0001224419363492,0.9475425330812824,0.9475579160626675,2.3663611629239545e-10
17,413.9342007875416,69.63560089463772,0.058837890625,0.0634765625,0.05419921875,0.0003925617269211,0.9881852551984844,0.9092417690665092,0.006232074002669364
17,319.23929768270386,53.07364689001495,0.0840999999999999,0.0684,0.0998,0.0009645795234531,0.9940926275992408,0.9302130867948558,0.004080595733379083
18,253.64926408586183,46.74275835758955,0.004,0.0056,0.0024,0.0001865333712593,0.9521502835538722,0.9447763194433743,5.437534670291189e-05
18,433.1155608043481,49.28161580992735,0.005126953125,0.00830078125,0.001953125,0.0002011995683007,0.9386814744801484,0.941449908620476,7.664227589331248e-06
19,333.4311638524518,214.7167540188217,0.036376953125,0.03466796875,0.0380859375,0.0002530893888037,0.9362003780718308,0.932561986174692,1.3237895597165064e-05
19,377.9497975617496,248.63158659548463,0.0249,0.0328,0.017,0.0002305068238674,0.9292296786389384,0.9224008645056382,4.663270246716009e-05
20,499.33639789182257,482.8878544435456,0.038,0.0656,0.0104,0.0001311830987886,0.7880434782608673,0.881319671025211,0.00870044813661101
20,339.0853438381704,375.1828995075223,0.03759765625,0.0380859375,0.037109375,0.0001372428937304,0.9846408317580309,0.9281128488000233,0.0031954128573007906
21,245.21169798908497,184.49806855661336,0.0181,0.015,0.0212,0.0010471091820151,0.9999999999999968,0.9450550593397211,0.003018946504161214
21,460.1333054724943,200.501943565756,0.013427734375,0.01025390625,0.0166015625,0.0001612039165746,0.9999999999999968,0.9477647501394543,0.0027285213279933064
22,278.23988086421,193.66022799336963,0.0137,0.0194,0.008,0.0004911670884429,0.9321833648393164,0.932371350624738,3.5338655520561835e-08
22,357.88071469841464,77.1937803857095,0.01708984375,0.01318359375,0.02099609375,0.0014673078659458,0.8589319470699407,0.9469984076255601,0.007755701474794467
23,368.0803094625602,204.066024814404,0.0244999999999999,0.0292,0.0198,0.0001038686399743,0.958766540642719,0.9281187415600728,0.0009392875886102526
23,366.3085538123374,224.2832264052,0.019287109375,0.025390625,0.01318359375,8.93210573995e-05,0.9793241965973504,0.928589609473464,0.002573998330631214
24,285.1667977138692,63.84447589504281,0.0214999999999999,0.038,0.005,0.0005389203724846,0.9321833648393164,0.9095078931948612,0.0005141770142984899
