Unnamed:_0,Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,_x_sx_error_,P_Value,Zero,One,Quality,abs,P_Value_pred,RSE
0,0,232.3192603398693,323.0582975949717,0.005126953125,0.00634765625,0.00390625,0.0001991776765114,0.000138234771828,40539,39461,0,1078,0.048997424075249735,0.002387220379387601
1,0,384.8077310067106,486.23766078571145,0.0027,0.0044,0.001,0.0001327268526847,0.0063443498295036,40386,39614,0,772,0.04882466408761661,0.0018045770994680394
2,1,521.0552804202151,130.86193138748442,0.015869140625,0.01123046875,0.0205078125,0.000190538039894,0.2266042258027557,39829,40171,1,342,0.05081349752991537,0.03090238014669558
3,1,460.1554823065436,171.8701412459624,0.0057,0.0086,0.0028,0.0004009879300176,8.26708567784458e-09,40815,39185,0,1630,0.04853402891204609,0.0023555511599654437
4,2,272.73794752613907,142.77383610540738,0.01171875,0.009765625,0.013671875,0.000131907626893,0.195663552268566,40183,39817,1,366,0.049993217342909256,0.02121984647735301
5,2,297.6389408350375,149.38970812380646,0.0046,0.0064,0.0028,0.0003890796801494,0.0072095707647425,40380,39620,0,760,0.04882624054775034,0.0017319472038279178
6,3,249.63594857402217,142.13468228326232,0.00634765625,0.0048828125,0.0078125,9.24995750204e-05,0.0007631420050713,40476,39524,0,952,0.04977190160228082,0.002401858517257077
7,3,211.62128005649924,146.72567571405563,0.0062999999999999,0.0076,0.005,0.0001635116734481,7.86174141898307e-06,40632,39368,0,1264,0.048993458762655595,0.0023995887155269856
8,4,541.8192633031138,227.85974291043976,0.084716796875,0.06982421875,0.099609375,0.0005581641294551,4.56221584239422e-41,38102,41898,0,3796,0.05477408818348689,0.0030002007363323984
9,4,110.63914548442315,119.10729897263316,0.0653,0.0712,0.0594,0.0004795380529602,8.886544418452132e-41,41891,38109,0,3782,0.048621971050030285,0.0023640960687899833
10,5,438.15356415087024,442.81284248188086,0.016357421875,0.0244140625,0.00830078125,0.0001755001441622,5.150622557324871e-12,40976,39024,0,1952,0.04725018217571501,0.00223257971515152
11,5,445.07588572049497,440.3779108063197,0.0127,0.0094,0.016,0.0002193882350308,0.0100568435025923,40364,39636,1,728,0.0503874084144353,0.001626554466108382
12,6,372.895847892788,185.4006400646429,0.0126953125,0.0087890625,0.0166015625,9.25519982097e-05,0.3153344497825558,40142,39858,1,284,0.05055786168559778,0.07010664160426618
13,6,274.93909720509214,147.01187276966468,0.0163999999999999,0.0304,0.0024,0.000415818029972,1.5417257900280083e-08,40800,39200,0,1600,0.045579094271006815,0.0020774524291562613
14,7,287.7388438890699,157.7930903066063,0.0427999999999999,0.024,0.0616,0.000321030620219,0.0010088516329663,40465,39535,0,930,0.05521784525042893,0.002938614989018104
15,7,410.7681347984127,363.2063834652582,0.005126953125,0.00390625,0.00634765625,9.83143923442e-05,0.6973436642249593,40055,39945,1,110,0.04968414506195413,0.419462852762455
16,8,454.8924923762133,297.7769648588041,0.0449,0.0586,0.0312,0.0007063328010428,1.570660834173213e-40,41885,38115,0,3770,0.04610904682209005,0.0021260441988416924
17,8,423.20033408167046,316.26113499159607,0.15283203125,0.263671875,0.0419921875,0.057518967321455,2.7708969831311743e-46,42020,37980,0,4040,0.02047286921262967,0.0004191383737974397
18,9,118.37388492679776,159.05165351485545,0.0178,0.0314,0.0042,0.0003092412718703,1.8584964372655126e-20,41311,38689,0,2622,0.045713494201915165,0.0020897235521485313
19,9,454.1564258582864,376.3262951626362,0.01416015625,0.017578125,0.0107421875,0.0001416230256928,7.118036603663971e-06,40635,39365,0,1270,0.04852060005547209,0.0023535579375950698
20,10,296.817946413255,84.01668052014429,0.0047,0.006,0.0034,0.0001695320061317,0.8819541644087981,40021,39979,1,42,0.048968444403287875,0.6938652097330984
21,10,233.4033388653241,78.30533009331471,0.011962890625,0.01123046875,0.0126953125,0.000149263231242,0.0389464904868819,40292,39708,1,584,0.0496536737378883,0.00011464377317063195
22,11,242.6215792943725,220.72528313966023,0.004638671875,0.005859375,0.00341796875,0.0002078364101893,2.300163774464404e-09,40845,39155,0,1690,0.04898979029858722,0.002399999328130474
