Unnamed:_0,Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,_x_sx_error_,P_Value,Zero,One,Quality,abs,P_Value_pred,RSE
0,0,384.8077310067106,486.23766078571145,0.0027,0.0044,0.001,0.0001327268526847,0.2761783860351406,10077,9923,1,154,0.16572539642141493,0.012199862914609793
1,0,232.3192603398693,323.0582975949717,0.005126953125,0.00634765625,0.00390625,0.0001991776765114,0.1197949304259183,10110,9890,1,220,0.16551698203821985,0.0020905060036379673
2,1,460.1554823065436,171.8701412459624,0.0057,0.0086,0.0028,0.0004009879300176,0.023651616655356,10160,9840,1,320,0.16436573988974282,0.0198004644776222
3,1,521.0552804202151,130.86193138748442,0.015869140625,0.01123046875,0.0205078125,0.000190538039894,0.1375638939099033,9895,10105,1,210,0.16689261213658524,0.0008601737128201047
4,2,297.6389408350375,149.38970812380646,0.0046,0.0064,0.0028,0.0003890796801494,0.1491619822990579,10102,9898,1,204,0.16527005702690006,0.0002594700714377478
5,2,272.73794752613907,142.77383610540738,0.01171875,0.009765625,0.013671875,0.000131907626893,0.0211571603264298,9837,10163,1,326,0.16610185372869085,0.021008964145475456
6,3,211.62128005649924,146.72567571405563,0.0062999999999999,0.0076,0.005,0.0001635116734481,0.8320040285726364,10015,9985,1,30,0.16522506402633963,0.44459418756143176
7,3,249.63594857402217,142.13468228326232,0.00634765625,0.0048828125,0.0078125,9.24995750204e-05,0.0003462860151351,10253,9747,0,506,0.16691504634729,0.02774515191859087
8,4,110.63914548442315,119.10729897263316,0.0653,0.0712,0.0594,0.0004795380529602,3.9919157769141815e-11,10467,9533,0,934,0.15016659431053347,0.0225500060348353
9,4,541.8192633031138,227.85974291043976,0.084716796875,0.06982421875,0.099609375,0.0005581641294551,7.658618933024527e-12,9516,10484,0,968,0.1589251556636388,0.025257205100277527
10,5,445.07588572049497,440.3779108063197,0.0127,0.0094,0.016,0.0002193882350308,0.0254529906573031,10158,9842,1,316,0.16672652264901894,0.019958210841414355
11,5,438.15356415087024,442.81284248188086,0.016357421875,0.0244140625,0.00830078125,0.0001755001441622,0.6713732405408726,10030,9970,1,60,0.1589861546139236,0.26254052582471055
