Unnamed:_0,Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,_x_sx_error_,P_Value,Zero,One,Quality,abs,P_Value_pred,RSE
11,5,90.67182520176674,132.42551394672216,0.007,0.0098,0.0042,0.0003683814200176,0.2145781167288389,30152,29848,1,304,0.15009270984565035,0.004158367700890381
12,6,223.59246244380788,83.15010574387493,0.018798828125,0.025390625,0.01220703125,0.0002654272281749,0.9154676606038382,29987,30013,1,26,0.13963633605482065,0.6019142441514831
13,6,127.79422205260616,69.26538338139814,0.0089,0.008,0.0098,0.0002681680629049,0.7011612349143793,29953,30047,1,94,0.14845269429176072,0.30548673087718486
14,7,291.9011229003346,317.71290492372606,0.0189,0.0194,0.0184,0.0005264943040941,0.000474763169736,29572,30428,0,856,0.13940947414605584,0.01930285391407353
15,7,305.1706883653607,263.1396460704861,0.009521484375,0.0087890625,0.01025390625,0.0002545484611121,7.068422414432333e-10,29245,30755,0,1510,0.14790621470246568,0.021876248138519152
16,8,263.8408658169988,177.76473334811678,0.0174999999999999,0.0068,0.0282,0.0001646276217161,0.00056976027172,30422,29578,0,844,0.14084611706091082,0.01967745627404836
17,8,326.53473998060616,243.50256007339945,0.010498046875,0.0107421875,0.01025390625,0.0001774487344584,0.3823081571552292,30107,29893,1,214,0.1470766833933918,0.055333846248165994
18,9,296.85016432205566,142.871476085231,0.0050999999999999,0.0036,0.0066,0.0001317819105984,0.0025191028453422,29630,30370,0,740,0.1519091375408056,0.022317382466311753
19,9,406.53941390709633,173.71557353229463,0.008056640625,0.00732421875,0.0087890625,0.0001318647973293,4.684202866901967e-13,29114,30886,0,1772,0.14927534323817196,0.0222831280987342
20,10,362.2952834896347,239.4031000915961,0.0151,0.01,0.0202,0.0001022018257282,0.0412268333371637,30250,29750,1,500,0.14301671380613737,0.010361179765887947
21,10,170.16594938485383,222.03664718935835,0.02197265625,0.01806640625,0.02587890625,0.0001214329576312,2.365991577161564e-06,29422,30578,0,1156,0.13688453608260612,0.018736728488829384
22,11,205.7224190331731,434.74928590199846,0.15966796875,0.15185546875,0.16748046875,0.0001759860271404,2.000857690475852e-14,29063,30937,0,1874,0.014198123211139124,0.0002015867027181194
23,11,201.47529363302263,229.8989973408266,0.1441,0.1258,0.1624,0.0002637852245137,0.8831561854490166,29982,30018,1,36,0.028019953852928686,0.7312579745883582
24,12,338.3716887812377,164.3107462057929,0.017822265625,0.01123046875,0.0244140625,0.0001279350496918,0.3074341659273953,29875,30125,1,250,0.14057826395335155,0.027840892023571703
25,12,236.5857128954933,161.04445122616264,0.0144999999999999,0.0132,0.0158,0.0001966517342673,9.268262788341055e-06,29457,30543,0,1086,0.1435017188831417,0.020590083385034545
26,13,252.9946090284145,61.5982989786162,0.028076171875,0.01806640625,0.0380859375,0.0002414188771671,0.0974208410313762,29797,30203,1,406,0.1313847301984285,0.0011535457673518125
27,13,367.6289596855888,129.38116092632035,0.021,0.0188,0.0232,0.0001741829033762,5.0318467222795654e-09,29284,30716,0,1432,0.1377233413972659,0.018967717379622398
28,14,276.9729936703178,122.9701473505566,0.0166015625,0.01220703125,0.02099609375,0.0002106852708509,2.4200331498815053e-14,30934,29066,0,1868,0.14162231414764007,0.020056879864525996
29,14,187.05082065819923,117.10206255311776,0.0164999999999999,0.0146,0.0184,0.0001408424856035,0.8382564863858263,30025,29975,1,50,0.14174936666471769,0.48512216782219464
30,15,134.99003243534105,30.72728187850089,0.0080999999999999,0.0108,0.0054,0.000703466496972,0.3519538725556064,29886,30114,1,228,0.14893733181171526,0.04121571581561601
31,15,304.941767605406,42.92847532995483,0.01220703125,0.01220703125,0.01220703125,0.0003592117090424,0.0003595929165326,29563,30437,0,874,0.14545913250650352,0.021053876389221543
32,16,252.38336309162125,16.372709835707646,0.01806640625,0.013671875,0.0224609375,0.0002968054869654,1.867677067913164e-16,28992,31008,0,2016,0.14027233641267847,0.019676328362671587
33,16,148.275781264609,18.80196008217021,0.0171999999999999,0.0186,0.0158,0.0002529120167948,0.0311187442826544,30264,29736,1,528,0.14106711393679713,0.012088643989604015
34,17,342.06517625741174,352.68055275755825,0.0153999999999999,0.0192,0.0116,0.000130909004173,2.6536490635188475e-23,31218,28782,0,2436,0.14273444036974497,0.020373120467664284
35,17,183.08100247970776,221.53029918683947,0.017333984375,0.01171875,0.02294921875,0.0001692053775096,1.589245665921269e-07,29358,30642,0,1284,0.1409916047128985,0.01987858778548414
36,18,119.68547096349434,93.22240520103266,0.0166015625,0.01904296875,0.01416015625,0.0003159875488943,9.042597375757584e-13,29125,30875,0,1750,0.14156716007784145,0.020041260812249162
37,18,237.48670125926893,99.25478719443323,0.1049999999999999,0.1026,0.1074,0.0002277523337247,0.0010597985377088,30401,29599,0,802,0.06286878171205368,0.003820350401046448
38,19,250.38800283922544,106.50686691929664,0.0836,0.084,0.0832,0.0001460116581338,3.069453744370104e-13,30893,29107,0,1786,0.08197453703878897,0.006719824722673461
39,19,320.1397973200648,139.52284668740532,0.01513671875,0.0234375,0.0068359375,0.0002094519022097,0.2922124123991713,29871,30129,1,258,0.1429278307826376,0.022285886308423507
40,20,205.8218312349316,219.76466909033044,0.0185546875,0.00927734375,0.02783203125,0.0002163763016461,4.696002146120352e-49,28197,31803,0,3606,0.1398795058491121,0.019566276156591785
41,20,348.90597566130697,298.3332866176694,0.0205999999999999,0.0106,0.0306,0.0001362529865693,0.1024704348597494,29800,30200,1,400,0.13809952458685312,0.0012694320347820082
42,21,250.23070936166383,134.4814964627794,0.009521484375,0.00634765625,0.0126953125,0.0001452744100939,1.7276575394566001e-29,31381,28619,0,2762,0.1479634490638586,0.02189318225887308
43,21,314.6772261355906,148.48086952810115,0.0069,0.0074,0.0064,0.0001703045022685,0.0263597202549015,29728,30272,1,544,0.15028553556519644,0.015357607700321334
44,22,275.8668086066445,201.19256018723257,0.02099609375,0.03369140625,0.00830078125,0.0003638582338904,0.002199647061113,29625,30375,0,750,0.13762747499242842,0.018340696578193975
45,22,257.02443174527474,171.94281021723154,0.0101999999999999,0.0128,0.0076,0.0001449622227063,0.1416446902951368,29820,30180,1,360,0.14735919649993182,3.265558116464081e-05
46,23,337.75458633878696,183.01285187082897,0.00927734375,0.01025390625,0.00830078125,0.0001496298842987,0.0003947108348987,29566,30434,0,868,0.1481786462405725,0.02184009156398837
47,23,251.3557590510598,261.44381322722074,0.0181,0.0094,0.0268,0.0001649700924885,0.4476481067846692,30093,29907,1,186,0.14031146267334962,0.09445581281360789
48,24,230.8487331982512,119.6171321492539,0.12548828125,0.01416015625,0.23681640625,0.0001558721660167,0.0,22695,37305,0,14610,0.0446556397052029,0.001994126157480894
49,24,224.8677845874205,107.52780857420278,0.138,0.0298,0.2462,0.0002037669930192,0.0,24722,35278,0,10556,0.033485218831055534,0.0011212598801636762
50,25,106.40240101992632,137.45164129792326,0.0101999999999999,0.0084,0.012,0.0003636490316071,0.6711441715341957,29948,30052,1,104,0.14724465512678905,0.27447070329191453
51,25,215.4356220836172,178.22225809635287,0.02099609375,0.00390625,0.0380859375,0.0001488790791938,3.029518592021848e-63,27944,32056,0,4112,0.13774007441120353,0.018972328098803885
52,26,229.8920280055933,150.69124569939885,0.0087,0.0052,0.0122,0.0002235953334198,2.880338667752217e-23,28783,31217,0,2434,0.14865419844343214,0.0220980707148593
53,26,228.94403018509547,17.493510576837703,0.030029296875,0.04736328125,0.0126953125,0.0017859892335793,2.035735841512247e-11,30821,29179,0,1642,0.1288359046008091,0.016598690309063267
54,27,310.21216809647814,216.5901852580537,0.0721,0.0304,0.1138,0.000150915278777,9.728543248055144e-08,30653,29347,0,1306,0.09221607307062703,0.008503786190015588
55,27,326.91858935625186,227.6277868179083,0.064208984375,0.08984375,0.03857421875,0.0001470913716844,0.0146334878092663,30299,29701,1,598,0.09924732703255253,0.007159501788104129
56,28,225.45173929366408,100.80527155061424,0.043212890625,0.01123046875,0.0751953125,0.0004131080085591,4.286931865927964e-108,27295,32705,0,5410,0.11781114152674148,0.013879465067833911
57,28,126.40760417134015,55.672504651627385,0.0419,0.01,0.0738,0.0010163964042193,1.654253573898287e-75,27748,32252,0,4504,0.11866466981592412,0.014081303862522293
58,29,330.0988703062876,295.2070706019093,0.0185546875,0.02490234375,0.01220703125,0.0001988376610223,0.0049734523070653,29656,30344,0,688,0.13988869204552792,0.018202121913686843
59,29,256.4800696912566,203.81273590678435,0.0363,0.0124,0.0602,0.0001773222568844,0.9414204249274506,30009,29991,1,18,0.12409258429559582,0.6680247990719307
60,30,451.54306417141504,64.82208370954781,0.009765625,0.01025390625,0.00927734375,0.0003115184437534,0.019964453305216,29715,30285,1,570,0.14765889715200328,0.016305870989340315
61,30,204.3786849105484,68.35317153754441,0.0074999999999999,0.0076,0.0074,0.0001920389571397,0.5136291133931241,30080,29920,1,160,0.14973967671932703,0.13241552212277338
62,31,83.55821541336894,60.4872428282716,0.00830078125,0.00830078125,0.00830078125,0.0015168449695105,0.5242112626098553,29922,30078,1,156,0.14833245510701465,0.14128487792975752
63,31,201.34167046633223,55.79580215746857,0.0069,0.0078,0.006,0.0002681767619568,0.246282932236979,29858,30142,1,284,0.1502342731087473,0.009225344920331249
64,32,274.925978146232,368.4998148193293,0.0122999999999999,0.0096,0.015,0.0001288425761862,0.0009436448512078,30405,29595,0,810,0.145496976929268,0.02089566581486995
65,32,199.16315807280392,229.88400733265004,0.015625,0.0126953125,0.0185546875,0.0001504423360221,7.49471215832936e-05,29515,30485,0,970,0.14252378128638904,0.02029167035491233
